id,Name,public_category_label,public_status_label,PrimaryLanguage,FirstReleaseYear,Status,ActivitySignal,rendering_generation,ecosystem,era,RenderingSurface,DisplayDependency,EngineFamily,RenderingModel,InteractionModel,Extensibility,MaturityScore,Confidence,LineageSoftware,LineageConcept,LineageConfidence,PrimarySource,explorer_summary,RenderingModelGroup,EngineGroup,EngineImplementationClass,InteractionComplexity,SemanticLayer,WorkspaceModel,RuntimeEnvironment,HostPlatform,EcosystemFamily,EcosystemContext,ImplementationStyle,PublicMaturityLabel,PublicLifecycleLabel,Notes,nearest_neighbors_v6,representative_set_v6,structural_identity_v6
term_lilyterm,lilyterm,Desktop terminal,Maintained,C,,Maintained,dormant,text_grid_cpu,gnome_ecosystem,unknown_epoch,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,2,source_grounded_v6,vte_based,vte,model_defined,https://github.com/Tetralet/LilyTerm,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,desktop_ecosystem,gnome_ecosystem,native_systems_language,Maintained,inactive_or_dormant,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_linux_console,Linux console,Framebuffer / console terminal,Active,C,1991,Active,active,framebuffer_direct,standalone,x11_toolkit_expansion,no_window_system,framebuffer_or_console,minimal_native_engine,framebuffer_direct,classic_tty,standard_terminal,3,source_grounded_v6,low_level_minimal,minimal_native,model_defined,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,framebuffer direct · minimal native engine · classic tty,framebuffer_direct,low_level_minimal,minimal_native,classic_tty,none,system_console,native_runtime,no_window_system,standalone_or_independent,standalone,native_systems_language,Active,active,framebuffer direct · minimal native engine · classic tty,"[{'id': 'term_fbterm', 'Name': 'fbterm', 'similarity': 1.0}, {'id': 'term_yaft', 'Name': 'yaft', 'similarity': 1.0}, {'id': 'term_fbpad', 'Name': 'fbpad', 'similarity': 0.7}, {'id': 'term_st_suckless_terminal', 'Name': 'st', 'similarity': 0.65}, {'id': 'term_stjerm', 'Name': 'stjerm', 'similarity': 0.35}]","['recommended_10', 'expanded_12']",framebuffer_direct + minimal_native_engine + classic_tty
term_lterm,lterm,Desktop terminal,Maintained,C,,Maintained,dormant,text_grid_cpu,gnome_ecosystem,unknown_epoch,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,2,source_grounded_v6,vte_based,vte,model_defined,https://sourceforge.net/projects/lterm/,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,desktop_ecosystem,gnome_ecosystem,native_systems_language,Maintained,inactive_or_dormant,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_lxterminal,LXTerminal,Desktop terminal,Maintained,C,2008,Maintained,dormant,text_grid_cpu,lxde_ecosystem,desktop_widget_consolidation,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,2,source_grounded_v6,vte_based,vte,model_defined,https://github.com/lxde/lxterminal,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,desktop_ecosystem,lxde_ecosystem,native_systems_language,Maintained,inactive_or_dormant,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_mate_terminal,Mate Terminal,Desktop terminal,Active,C,,Active,active,text_grid_cpu,mate_ecosystem,unknown_epoch,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,3,source_grounded_v6,vte_based,vte,model_defined,https://github.com/mate-desktop/mate-terminal,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,desktop_ecosystem,mate_ecosystem,native_systems_language,Active,active,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]","['recommended_10', 'expanded_12']",text_grid_cpu + reused_widget_engine + multiplexed_ui
term_mrxvt,mrxvt,Desktop terminal,Legacy,C,2003,Legacy,archived,text_grid_cpu,standalone,desktop_widget_consolidation,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,1,source_grounded_v6,terminal_widget_toolkit,generic_terminal_widget,model_defined,https://github.com/razvanm/mrxvt,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,terminal_widget_toolkit,generic_terminal_widget,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,standalone_or_independent,standalone,native_systems_language,Legacy,archived_or_legacy,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_ptyxis,Ptyxis,Desktop terminal,Active,C,2023,Active,active,text_grid_cpu,gnome_ecosystem,workflow_gpu_maturation,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,2,source_grounded_v6,vte_based,vte,model_defined,https://gitlab.gnome.org/chergert/ptyxis,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,desktop_ecosystem,gnome_ecosystem,native_systems_language,Active,active,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_roxterm,ROXTerm,Desktop terminal,Active,C,2006,Active,active,text_grid_cpu,gnome_ecosystem,desktop_widget_consolidation,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,3,source_grounded_v6,vte_based,vte,model_defined,https://github.com/realh/roxterm,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,desktop_ecosystem,gnome_ecosystem,native_systems_language,Active,active,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_rxvt,rxvt,Classic terminal,Legacy,C,1992,Legacy,archived,text_grid_cpu,standalone,x11_toolkit_expansion,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,classic_tty,standard_terminal,1,source_grounded_v6,terminal_widget_toolkit,generic_terminal_widget,model_defined,http://rxvt.sourceforge.net/,text grid cpu · reused widget engine · classic tty,text_grid_cpu,terminal_widget_toolkit,generic_terminal_widget,classic_tty,none,none,native_runtime,unix_linux_desktop,standalone_or_independent,standalone,native_systems_language,Legacy,archived_or_legacy,text grid cpu · reused widget engine · classic tty,"[{'id': 'term_cool_retro_term', 'Name': 'Cool Retro Term', 'similarity': 1.0}, {'id': 'term_eterm', 'Name': 'Eterm', 'similarity': 1.0}, {'id': 'term_tek4010', 'Name': 'Tek4010', 'similarity': 1.0}, {'id': 'term_termite', 'Name': 'Termite', 'similarity': 1.0}, {'id': 'term_aixterm', 'Name': 'aixterm', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + classic_tty
term_sakura,Sakura,Desktop terminal,Maintained,C,2006,Maintained,dormant,text_grid_cpu,gnome_ecosystem,desktop_widget_consolidation,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,2,source_grounded_v6,vte_based,vte,model_defined,https://github.com/dabisu/sakura,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,desktop_ecosystem,gnome_ecosystem,native_systems_language,Maintained,inactive_or_dormant,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_st_suckless_terminal,st,Classic terminal,Active,C,2009,Active,active,text_grid_cpu,standalone,desktop_widget_consolidation,x11_wayland_native,native_gui_stack,minimal_native_engine,text_grid_cpu,classic_tty,standard_terminal,3,source_grounded_v6,low_level_minimal,minimal_native,model_defined,https://st.suckless.org/,text grid cpu · minimal native engine · classic tty,text_grid_cpu,low_level_minimal,minimal_native,classic_tty,none,none,native_runtime,unix_linux_desktop,standalone_or_independent,standalone,native_systems_language,Active,active,text grid cpu · minimal native engine · classic tty,"[{'id': 'term_stjerm', 'Name': 'stjerm', 'similarity': 0.7}, {'id': 'term_cool_retro_term', 'Name': 'Cool Retro Term', 'similarity': 0.65}, {'id': 'term_eterm', 'Name': 'Eterm', 'similarity': 0.65}, {'id': 'term_linux_console', 'Name': 'Linux console', 'similarity': 0.65}, {'id': 'term_tek4010', 'Name': 'Tek4010', 'similarity': 0.65}]",['expanded_12'],text_grid_cpu + minimal_native_engine + classic_tty
term_stjerm,stjerm,Desktop terminal,Maintained,C,,Maintained,dormant,text_grid_cpu,standalone,unknown_epoch,x11_wayland_native,native_gui_stack,minimal_native_engine,text_grid_cpu,multiplexed_ui,standard_terminal,2,source_grounded_v6,low_level_minimal,minimal_native,model_defined,https://code.google.com/archive/p/stjerm/,text grid cpu · minimal native engine · multiplexed ui,text_grid_cpu,low_level_minimal,minimal_native,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,standalone_or_independent,standalone,native_systems_language,Maintained,inactive_or_dormant,text grid cpu · minimal native engine · multiplexed ui,"[{'id': 'term_st_suckless_terminal', 'Name': 'st', 'similarity': 0.7}, {'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 0.65}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 0.65}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 0.65}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 0.65}]",[],text_grid_cpu + minimal_native_engine + multiplexed_ui
term_svte,svte,Desktop terminal,Legacy,C,,Legacy,archived,text_grid_cpu,gnome_ecosystem,unknown_epoch,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,1,source_grounded_v6,vte_based,vte,model_defined,https://github.com/JamesLinus/svte,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,desktop_ecosystem,gnome_ecosystem,native_systems_language,Legacy,archived_or_legacy,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_terminology,Terminology,Desktop terminal,Active,C,2012,Active,active,text_grid_cpu,standalone,gpu_and_web_divergence,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,3,source_grounded_v6,terminal_widget_toolkit,generic_terminal_widget,model_defined,https://git.enlightenment.org/enlightenment/terminology,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,terminal_widget_toolkit,generic_terminal_widget,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,standalone_or_independent,standalone,native_systems_language,Active,active,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_termit,Termit,Desktop terminal,Active,C,2008,Active,active,text_grid_cpu,gnome_ecosystem,desktop_widget_consolidation,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,3,source_grounded_v6,vte_based,vte,model_defined,https://github.com/nonstop/termit,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,desktop_ecosystem,gnome_ecosystem,native_systems_language,Active,active,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
